
 ENSEÑANZAS NO UNIVERSITARIAS / ALUMNADO MATRICULADO / CURSO 2021-2022. DATOS AVANCE
1. Alumnado Matriculado en Enseñanzas de Régimen General por  titularidad del centro, enseñanza y variación con respecto al año  anterior.
Unidades: Número de alumnos y porcentajes

,Datos curso 2021-22,Datos curso 2020-21,Variación absoluta 2020-21,Variación porcentual 2020-21,
TODOS LOS CENTROS,
    TODOS LAS ENSEÑANZAS,8248489.0,8232295.0,16194.0,0.2,
    E. Infantil - Primer ciclo (1),434498.0,388974.0,45524.0,11.7,
    E. Infantil - Segundo ciclo,1188421.0,1233124.0,-44703.0,-3.6,
    E. Primaria,2795572.0,2843852.0,-48280.0,-1.7,
    Educación Especial,39567.0,38907.0,660.0,1.7,
    ESO,2050577.0,2041117.0,9460.0,0.5,
    Bachillerato presencial,662590.0,656511.0,6079.0,0.9,
    Bachillerato a distancia,28847.0,30573.0,-1726.0,-5.6,
    Ciclos Formativos de FP Básica presencial,75458.0,75952.0,-494.0,-0.7,
    Ciclos Formativos de FP Grado Medio presencial,367409.0,358870.0,8539.0,2.4,
    Ciclos Formativos de FP Grado Medio a distancia,52959.0,42196.0,10763.0,25.5,
    Curso de Especialización para titulados de GM,523.0,117.0,406.0,347.0,
    Ciclos Formativos de FP Grado Superior presencial,409255.0,405915.0,3340.0,0.8,
    Ciclos Formativos de FP Grado Superior a distancia,126135.0,101420.0,24715.0,24.4,
    Curso de Especialización para titulados de GS,2207.0,961.0,1246.0,129.7,
    Otros Programas Formativos,14471.0,13806.0,665.0,4.8,
CENTROS PÚBLICOS,
    TODOS LAS ENSEÑANZAS,5524828.0,5536967.0,-12139.0,-0.2,
    E. Infantil - Primer ciclo (1),234072.0,209109.0,24963.0,11.9,
    E. Infantil - Segundo ciclo,805156.0,835394.0,-30238.0,-3.6,
    E. Primaria,1889603.0,1924218.0,-34615.0,-1.8,
    Educación Especial,24329.0,23731.0,598.0,2.5,
    ESO,1367526.0,1354969.0,12557.0,0.9,
    Bachillerato presencial,475116.0,471194.0,3922.0,0.8,
    Bachillerato a distancia,27769.0,29414.0,-1645.0,-5.6,
    Ciclos Formativos de FP Básica presencial,57159.0,57502.0,-343.0,-0.6,
    Ciclos Formativos de FP Grado Medio presencial,263124.0,258001.0,5123.0,2.0,
    Ciclos Formativos de FP Grado Medio a distancia,25298.0,23774.0,1524.0,6.4,
    Curso de Especialización para titulados de GM,523.0,117.0,406.0,347.0,
    Ciclos Formativos de FP Grado Superior presencial,286285.0,287652.0,-1367.0,-0.5,
    Ciclos Formativos de FP Grado Superior a distancia,56254.0,51102.0,5152.0,10.1,
    Curso de Especialización para titulados de GS,2207.0,961.0,1246.0,129.7,
    Otros Programas Formativos,10407.0,9829.0,578.0,5.9,
CENTROS PRIVADOS,
    TODOS LAS ENSEÑANZAS,2723661.0,2695328.0,28333.0,1.1,
    E. Infantil - Primer ciclo (1),200426.0,179865.0,20561.0,11.4,
    E. Infantil - Segundo ciclo,383265.0,397730.0,-14465.0,-3.6,
    E. Primaria,905969.0,919634.0,-13665.0,-1.5,
    Educación Especial,15238.0,15176.0,62.0,0.4,
    ESO,683051.0,686148.0,-3097.0,-0.5,
    Bachillerato presencial,187474.0,185317.0,2157.0,1.2,
    Bachillerato a distancia,1078.0,1159.0,-81.0,-7.0,
    Ciclos Formativos de FP Básica presencial,18299.0,18450.0,-151.0,-0.8,
    Ciclos Formativos de FP Grado Medio presencial,104285.0,100869.0,3416.0,3.4,
    Ciclos Formativos de FP Grado Medio a distancia,27661.0,18422.0,9239.0,50.2,
    Curso de Especialización para titulados de GM,0.0,0.0,0.0,..,
    Ciclos Formativos de FP Grado Superior presencial,122970.0,118263.0,4707.0,4.0,
    Ciclos Formativos de FP Grado Superior a distancia,69881.0,50318.0,19563.0,38.9,
    Curso de Especialización para titulados de GS,0.0,0.0,0.0,..,
    Otros Programas Formativos,4064.0,3977.0,87.0,2.2,
Notas:

.. Dato no disponible1) En Educación Infantil primer ciclo se recoge el alumnado en  centros autorizados por la Administración Educativa.
Fuente: Estadística de las Enseñanzas no universitarias. Subdirección  General de Estadística y Estudios del Ministerio de Educación y  Formación Profesional.
